global_bit,kind,control_bit,cell,local_bit,x,y,z,bit
364,cell,,2,100,0.02887123539097771,0.011958857261409056,1.5625,0
365,cell,,2,101,0.02887123539097771,0.011958857261409056,1.578125,0
366,cell,,2,102,0.02887123539097771,0.011958857261409056,1.59375,1
367,cell,,2,103,0.02887123539097771,0.011958857261409056,1.609375,0
368,cell,,2,104,0.02887123539097771,0.011958857261409056,1.625,0
369,cell,,2,105,0.02887123539097771,0.011958857261409056,1.640625,0
370,cell,,2,106,0.02887123539097771,0.011958857261409056,1.65625,0
371,cell,,2,107,0.02887123539097771,0.011958857261409056,1.671875,0
372,cell,,2,108,0.02887123539097771,0.011958857261409056,1.6875,1
373,cell,,2,109,0.02887123539097771,0.011958857261409056,1.703125,0
374,cell,,2,110,0.02887123539097771,0.011958857261409056,1.71875,1
375,cell,,2,111,0.02887123539097771,0.011958857261409056,1.734375,0
376,cell,,2,112,0.02887123539097771,0.011958857261409056,1.75,1
377,cell,,2,113,0.02887123539097771,0.011958857261409056,1.765625,0
378,cell,,2,114,0.02887123539097771,0.011958857261409056,1.78125,1
379,cell,,2,115,0.02887123539097771,0.011958857261409056,1.796875,1
380,cell,,2,116,0.02887123539097771,0.011958857261409056,1.8125,1
381,cell,,2,117,0.02887123539097771,0.011958857261409056,1.828125,0
382,cell,,3,0,0.02598342538445454,0.017361569781862568,0.0,1
383,cell,,3,1,0.02598342538445454,0.017361569781862568,0.015625,0
384,cell,,3,2,0.02598342538445454,0.017361569781862568,0.03125,1
385,cell,,3,3,0.02598342538445454,0.017361569781862568,0.046875,0
386,cell,,3,4,0.02598342538445454,0.017361569781862568,0.0625,0
387,cell,,3,5,0.02598342538445454,0.017361569781862568,0.078125,0
388,cell,,3,6,0.02598342538445454,0.017361569781862568,0.09375,1
389,cell,,3,7,0.02598342538445454,0.017361569781862568,0.109375,1
390,cell,,3,8,0.02598342538445454,0.017361569781862568,0.125,0
391,cell,,3,9,0.02598342538445454,0.017361569781862568,0.140625,0
